Student_ID,Name,Department,CGPA,Skills,Internship,Placed,Company,Package
1001,Student_1,Civil,8.78,,Yes,No,,0.0
1002,Student_2,ME,6.66,MATLAB,Yes,No,,0.0
1003,Student_3,IT,8.95,,Yes,No,,0.0
1004,Student_4,ECE,7.18,,Yes,Yes,TCS,14.0
1005,Student_5,ME,8.25,SQL,No,No,,0.0
1006,Student_6,CSE,6.55,SQL,No,Yes,Infosys,19.9
1007,Student_7,IT,7.88,SQL,No,Yes,TCS,9.4
1008,Student_8,Civil,8.85,SQL,Yes,No,,0.0
1009,Student_9,IT,7.47,Java,Yes,No,,0.0
1010,Student_10,CSE,7.29,Python,Yes,Yes,Infosys,19.3
1011,Student_11,ME,7.11,Java,No,No,,0.0
1012,Student_12,Civil,9.75,ML,No,Yes,Amazon,8.5
1013,Student_13,IT,6.75,ML,No,Yes,TCS,12.9
1014,Student_14,ECE,7.43,SQL,No,No,,0.0
1015,Student_15,ME,8.48,Java,Yes,No,,0.0
1016,Student_16,EEE,7.01,AutoCAD,Yes,No,,0.0
1017,Student_17,EEE,8.06,,Yes,Yes,Infosys,14.6
1018,Student_18,ME,9.24,ML,Yes,Yes,,10.1
1019,Student_19,Civil,6.52,Java,No,No,,0.0
1020,Student_20,ECE,7.59,Python,Yes,No,,0.0
1021,Student_21,Civil,6.58,SQL,Yes,No,,0.0
1022,Student_22,ECE,9.47,React,Yes,Yes,TCS,15.4
1023,Student_23,CSE,7.59,SQL,No,No,,0.0
1024,Student_24,CSE,7.79,ML,No,No,,0.0
1025,Student_25,ECE,9.03,ML,Yes,No,,0.0
1026,Student_26,IT,7.1,Java,No,No,,0.0
1027,Student_27,IT,7.57,ML,Yes,Yes,Amazon,7.2
1028,Student_28,ME,6.43,SQL,No,No,,0.0
1029,Student_29,EEE,6.85,Java,No,No,,0.0
1030,Student_30,Civil,6.46,,No,No,,0.0
1031,Student_31,Civil,6.5,AutoCAD,Yes,No,,0.0
1032,Student_32,CSE,6.02,ML,Yes,No,,0.0
1033,Student_33,CSE,6.8,SQL,Yes,Yes,Wipro,13.1
1034,Student_34,ECE,6.55,AutoCAD,Yes,Yes,Microsoft,12.5
1035,Student_35,ECE,6.75,SQL,No,Yes,Microsoft,12.9
1036,Student_36,Civil,6.14,ML,No,Yes,Google,6.5
1037,Student_37,EEE,6.37,AutoCAD,No,Yes,Wipro,8.4
1038,Student_38,Civil,9.24,React,Yes,No,,0.0
1039,Student_39,EEE,8.12,React,Yes,No,,0.0
1040,Student_40,CSE,8.07,AutoCAD,Yes,No,,0.0
