Segment Code,Ship Mode Code,Product_ID,Sales,Quantity,Discount,Profit,Category_Id,Date,State_Code
11,S22,1014,15.26,7,0,6.2566,F21,01-01-2024,NY
12,S23,1014,40.096,14,0.2,14.5348,F21,01-01-2024,NY
11,S21,1014,21.456,9,0.2,6.9732,F21,01-01-2024,NY
12,S22,1014,4.02,2,0,1.9698,F21,01-01-2024,NY
12,S22,1014,52.29,9,0,16.2099,F21,01-01-2024,NY
12,S21,1014,5.584,2,0.2,1.8148,F21,01-01-2024,NY
12,S22,1014,7.56,6,0,0.3024,F21,01-01-2024,NY
13,S23,1014,19.096,7,0.2,6.6836,F21,01-01-2024,NY
11,S21,1014,27.552,3,0.2,9.2988,F21,01-01-2024,NY
11,S22,1014,7.16,2,0,3.58,F21,01-01-2024,NY
12,S23,1014,4.96,4,0,2.3312,F21,01-01-2024,NY
11,S23,1014,30.992,13,0.2,10.0724,F21,01-01-2024,NY
12,S22,1014,22.2,5,0,10.434,F21,01-01-2024,NY
12,S22,1014,10.824,3,0.2,2.5707,F21,01-01-2024,NY
12,S21,1014,3.96,2,0,0,F21,01-01-2024,NY
12,S22,1014,13.96,4,0,6.4216,F21,01-01-2024,NY
,,,,,,,,,
11,S22,1014,31.56,5,0.2,9.8625,F21,01-01-2024,NY
12,S20,1014,10.74,3,0,5.2626,F21,01-01-2024,NY
12,S22,1014,35,7,0,16.8,F21,01-01-2024,NY
13,S22,1014,7.16,2,0,3.58,F21,02-02-2024,NY
12,S21,1014,10.23,3,0,4.9104,F21,02-02-2024,NY
13,S22,1014,4.416,3,0.2,1.6008,F21,02-02-2024,NY
11,S22,1014,10.416,7,0.2,-2.2134,F21,02-02-2024,NY
11,S22,1014,1.448,1,0.2,0.2353,F21,02-02-2024,NY
12,S22,1014,58.368,12,0.2,21.888,F21,02-02-2024,NY
12,S22,1014,8.72,4,0,2.8776,F21,02-02-2024,NY
12,S20,1014,5.84,2,0,2.628,F21,02-02-2024,NY
11,S23,1014,14.07,7,0,6.8943,F21,02-02-2024,NY
12,S22,1014,22.96,2,0,10.7912,F21,02-02-2024,NY
12,S22,1014,8.72,4,0,3.5752,F21,02-02-2024,NY
13,S20,1014,9.45,5,0,0.189,F21,02-02-2024,NY
11,S21,1014,3.68,2,0,1.8032,F21,02-02-2024,NY
12,S22,1014,3.76,2,0,1.316,F21,02-02-2024,NY
11,S23,1014,26.18,7,0,0.5236,F21,02-02-2024,NY
12,S22,1014,8.376,3,0.2,2.7222,F21,02-02-2024,NY
12,S23,1014,10.464,6,0.2,1.7004,F21,02-02-2024,NY
12,S21,1014,10.65,3,0,5.0055,F21,02-02-2024,NY
11,S22,1014,8.04,5,0.2,2.9145,F21,02-02-2024,NY
11,S22,1014,12.624,2,0.2,3.945,F21,02-02-2024,NY
13,S21,1014,3.168,2,0.2,-0.7128,F21,02-02-2024,NY
12,S21,1014,2.96,2,0,1.4208,F21,02-02-2024,NY
12,S23,1014,4.344,3,0.2,0.8688,F21,02-02-2024,NY
13,S22,1014,12.35,5,0,5.8045,F21,02-02-2024,NY
12,S23,1014,11.168,4,0.2,3.6296,F21,02-02-2024,NY
11,S22,1014,6.976,4,0.2,1.8312,F21,02-02-2024,NY
13,S21,1014,7.104,2,0.2,2.3976,F21,02-02-2024,NY
12,S22,1014,2.896,2,0.2,0.4706,F21,02-02-2024,NY
13,S22,1014,11.304,3,0.2,-2.1195,F21,02-02-2024,NY
11,S22,1014,11.34,3,0,5.2164,F21,02-02-2024,NY
12,S22,1014,3.96,2,0,1.4652,F21,02-02-2024,NY
12,S20,1014,17.45,5,0,8.027,F21,02-02-2024,NY
12,S22,1014,10.584,7,0.2,-2.3814,F21,02-02-2024,NY
11,S22,1014,16.688,7,0.2,5.4236,F21,02-02-2024,NY
12,S23,1014,21.48,6,0,10.74,F21,02-02-2024,NY
11,S22,1014,2.896,2,0.2,0.4706,F21,02-02-2024,NY
13,S22,1014,9.02,2,0,3.5178,F21,02-02-2024,NY
13,S23,1014,5,1,0,2.4,F21,02-02-2024,NY
